threshold,precision,recall,f1,false_positives,false_negatives
0.0,0.5,1.0,0.6666666666666666,20,0
0.01,0.5,1.0,0.6666666666666666,20,0
0.02,0.5,1.0,0.6666666666666666,20,0
0.03,0.5,1.0,0.6666666666666666,20,0
0.04,0.5,1.0,0.6666666666666666,20,0
0.05,0.5,1.0,0.6666666666666666,20,0
0.06,0.5,1.0,0.6666666666666666,20,0
0.07,0.5,1.0,0.6666666666666666,20,0
0.08,0.5,1.0,0.6666666666666666,20,0
0.09,0.5128205128205128,1.0,0.6779661016949152,19,0
0.1,0.5405405405405406,1.0,0.7017543859649122,17,0
0.11,0.5714285714285714,1.0,0.7272727272727273,15,0
0.12,0.5714285714285714,1.0,0.7272727272727273,15,0
0.13,0.6060606060606061,1.0,0.7547169811320755,13,0
0.14,0.6060606060606061,1.0,0.7547169811320755,13,0
0.15,0.6060606060606061,1.0,0.7547169811320755,13,0
0.16,0.6060606060606061,1.0,0.7547169811320755,13,0
0.17,0.6060606060606061,1.0,0.7547169811320755,13,0
0.18,0.6060606060606061,1.0,0.7547169811320755,13,0
0.19,0.6060606060606061,1.0,0.7547169811320755,13,0
0.2,0.6060606060606061,1.0,0.7547169811320755,13,0
0.21,0.6451612903225806,1.0,0.7843137254901961,11,0
0.22,0.6451612903225806,1.0,0.7843137254901961,11,0
0.23,0.6451612903225806,1.0,0.7843137254901961,11,0
0.24,0.6451612903225806,1.0,0.7843137254901961,11,0
0.25,0.6666666666666666,1.0,0.8,10,0
0.26,0.6666666666666666,1.0,0.8,10,0
0.27,0.6666666666666666,1.0,0.8,10,0
0.28,0.6896551724137931,1.0,0.8163265306122449,9,0
0.29,0.7142857142857143,1.0,0.8333333333333334,8,0
0.3,0.7142857142857143,1.0,0.8333333333333334,8,0
0.31,0.7142857142857143,1.0,0.8333333333333334,8,0
0.32,0.7142857142857143,1.0,0.8333333333333334,8,0
0.33,0.7407407407407407,1.0,0.851063829787234,7,0
0.34,0.7407407407407407,1.0,0.851063829787234,7,0
0.35000000000000003,0.7407407407407407,1.0,0.851063829787234,7,0
0.36,0.7407407407407407,1.0,0.851063829787234,7,0
0.37,0.7407407407407407,1.0,0.851063829787234,7,0
0.38,0.7407407407407407,1.0,0.851063829787234,7,0
0.39,0.7407407407407407,1.0,0.851063829787234,7,0
0.4,0.7407407407407407,1.0,0.851063829787234,7,0
0.41000000000000003,0.7407407407407407,1.0,0.851063829787234,7,0
0.42,0.7307692307692307,0.95,0.8260869565217391,7,1
0.43,0.7307692307692307,0.95,0.8260869565217391,7,1
0.44,0.7307692307692307,0.95,0.8260869565217391,7,1
0.45,0.7307692307692307,0.95,0.8260869565217391,7,1
0.46,0.76,0.95,0.8444444444444444,6,1
0.47000000000000003,0.76,0.95,0.8444444444444444,6,1
0.48,0.76,0.95,0.8444444444444444,6,1
0.49,0.76,0.95,0.8444444444444444,6,1
0.5,0.76,0.95,0.8444444444444444,6,1
0.51,0.76,0.95,0.8444444444444444,6,1
0.52,0.7916666666666666,0.95,0.8636363636363636,5,1
0.53,0.7916666666666666,0.95,0.8636363636363636,5,1
0.54,0.8260869565217391,0.95,0.8837209302325582,4,1
0.55,0.8260869565217391,0.95,0.8837209302325582,4,1
0.56,0.8636363636363636,0.95,0.9047619047619048,3,1
0.5700000000000001,0.8636363636363636,0.95,0.9047619047619048,3,1
0.58,0.8636363636363636,0.95,0.9047619047619048,3,1
0.59,0.8636363636363636,0.95,0.9047619047619048,3,1
0.6,0.8636363636363636,0.95,0.9047619047619048,3,1
0.61,0.8636363636363636,0.95,0.9047619047619048,3,1
0.62,0.8636363636363636,0.95,0.9047619047619048,3,1
0.63,0.8636363636363636,0.95,0.9047619047619048,3,1
0.64,0.9,0.9,0.9,2,2
0.65,0.9,0.9,0.9,2,2
0.66,0.9,0.9,0.9,2,2
0.67,0.9,0.9,0.9,2,2
0.68,0.9,0.9,0.9,2,2
0.6900000000000001,0.8888888888888888,0.8,0.8421052631578947,2,4
0.7000000000000001,0.8888888888888888,0.8,0.8421052631578947,2,4
0.71,0.9411764705882353,0.8,0.8648648648648649,1,4
0.72,0.9411764705882353,0.8,0.8648648648648649,1,4
0.73,0.9375,0.75,0.8333333333333334,1,5
0.74,0.9230769230769231,0.6,0.7272727272727273,1,8
0.75,0.9166666666666666,0.55,0.6875,1,9
0.76,0.9166666666666666,0.55,0.6875,1,9
0.77,0.9166666666666666,0.55,0.6875,1,9
0.78,0.9,0.45,0.6,1,11
0.79,1.0,0.35,0.5185185185185185,0,13
0.8,1.0,0.35,0.5185185185185185,0,13
0.81,1.0,0.3,0.46153846153846156,0,14
0.8200000000000001,1.0,0.25,0.4,0,15
0.8300000000000001,1.0,0.2,0.3333333333333333,0,16
0.84,1.0,0.2,0.3333333333333333,0,16
0.85,1.0,0.15,0.2608695652173913,0,17
0.86,1.0,0.1,0.18181818181818182,0,18
0.87,1.0,0.1,0.18181818181818182,0,18
0.88,1.0,0.05,0.09523809523809523,0,19
0.89,1.0,0.05,0.09523809523809523,0,19
0.9,1.0,0.05,0.09523809523809523,0,19
0.91,1.0,0.05,0.09523809523809523,0,19
0.92,0.0,0.0,0.0,0,20
0.93,0.0,0.0,0.0,0,20
0.9400000000000001,0.0,0.0,0.0,0,20
0.9500000000000001,0.0,0.0,0.0,0,20
0.96,0.0,0.0,0.0,0,20
0.97,0.0,0.0,0.0,0,20
0.98,0.0,0.0,0.0,0,20
0.99,0.0,0.0,0.0,0,20
1.0,0.0,0.0,0.0,0,20
